id,cap,url,location
581781,"A store display filled with ripe, unripe bananas and other fruit.",http://images.cocodataset.org/val2017/000000581781.jpg,['store']
581615,a urinal hanging on a wall in between two stalls,http://images.cocodataset.org/val2017/000000581615.jpg,"['wall', 'stall']"
581615,A wall urinal in a stall with an auto sensor flushing system.,http://images.cocodataset.org/val2017/000000581615.jpg,['stall']
581615,A view of a man's urinal inside a bathroom stall.,http://images.cocodataset.org/val2017/000000581615.jpg,['stall']
581482,A fancy metal cloth is seen against huge barred windows at a stone train station.,http://images.cocodataset.org/val2017/000000581482.jpg,"['station', 'train']"
581482,A shot of a clock in the train station.,http://images.cocodataset.org/val2017/000000581482.jpg,"['station', 'train']"
581482,A clock in a brightly lit room with windows.,http://images.cocodataset.org/val2017/000000581482.jpg,['room']
581482,A clock in a building in front of windows.,http://images.cocodataset.org/val2017/000000581482.jpg,['building']
581357,Teenager doing stunts with a skateboard at a skateboard park.,http://images.cocodataset.org/val2017/000000581357.jpg,['park']
581317,Young lady standing in an open field with a cell phone in her hand.,http://images.cocodataset.org/val2017/000000581317.jpg,['field']
581317,Woman in purple shirt examines her cellphone in the open field.,http://images.cocodataset.org/val2017/000000581317.jpg,['field']
581317,A woman holding a small item in a field.,http://images.cocodataset.org/val2017/000000581317.jpg,['field']
581317,Woman standing in a field of grass trying to use her cell phone.,http://images.cocodataset.org/val2017/000000581317.jpg,"['field', 'grass']"
581100,Two giraffe's and a water buffalo in a zoo type environment,http://images.cocodataset.org/val2017/000000581100.jpg,"['zoo', 'water']"
581100,Two giraffes walk around the enclosure of a tropical zoo.,http://images.cocodataset.org/val2017/000000581100.jpg,"['zoo', 'tropic']"
581100,Two giraffes and several other large animals roam a tropical zoo paddock.,http://images.cocodataset.org/val2017/000000581100.jpg,"['zoo', 'tropic']"
581100,Giraffes stand around in the wild animal park.,http://images.cocodataset.org/val2017/000000581100.jpg,['park']
581062,Male skateboarder utilizing cemented curved aqueduct structure on sunny day.,http://images.cocodataset.org/val2017/000000581062.jpg,['structure']
580757,A fire hydrant that has the stars and stripes on it.,http://images.cocodataset.org/val2017/000000580757.jpg,['star']
580757,"A red, white and blue fire hydrant on a city sidewalk.",http://images.cocodataset.org/val2017/000000580757.jpg,"['city', 'sidewalk']"
580418,Several cows walking in the street with cars behind them.,http://images.cocodataset.org/val2017/000000580418.jpg,['street']
580418,A herd of cattle walking down a street near lush green trees.,http://images.cocodataset.org/val2017/000000580418.jpg,"['street', 'tree']"
580418,a herd of cows walks down a city street,http://images.cocodataset.org/val2017/000000580418.jpg,"['street', 'city']"
